Name,Price,Category,Size,Feature
WhatsApp Desktop,Free,Social,379.39 MB,messaging
Telegram Desktop,Free,Social,103 MB,Secure Messaging
Amazon Prime Video for Windows,Free,Entertainment,39.86 MB, Streaming Entertainment
Instagram,Free,Social,4.59 MB, Social Photo Sharing
Spotify Music,Free,Music,182.41 MB,Music Streaming
Netflix,Free,Entertainment,76.17 MB,On-Demand Video Streaming
VLC UWP,Price,Photo & video,98.23 MB,Media Player
Your Phone,Free,Productivity,307.4 MB,Device Integration
iTunes,Free,Music,496.77 MB,Media Library Management
Python 3.9,Free,Developer tools  >  Development kits,103.63 MB,Programming Language
Lively Wallpaper,Free,Personalization  >  Wallpaper & lock screens,483 MB, Dynamic Desktop Wallpaper
Adobe Lightroom,Free,Photo & video,1.37 GB, Photo Editing
Facebook,Free,Social,1.88 MB, Social Networking
Dolby Access,Free,Entertainment,129.48 MB,Audio Enhancement
Alexa,Free,Productivity,144.13 MB,Voice Assistant
Amazon Music,Free,Music,208.26 MB, Music Streaming
iCloud,Free,Productivity,543.19 MB,Cloud Storage
Xbox,Free,Entertainment,75.34 MB,Gaming Console Integration
"WPS Office Suite - PDF, Word, Spreadsheet, Slide View & Edit",Free,Productivity,1.02 GB,Office Suite
"Adobe Photos+A21:A43hop Express: Image Editor, Adjustments, Filters, Effects, Borders",Free,Photo & video,57.23 MB,Photo Editing Mastery
SHARE.it,Free,Utilities & tools,28.5 MB,High-Speed File Transfer
Screen recorder + - Screen record screen recording screen recorder,Free,Multimedia design  >  Photo & video production,109.29 MB,Screen Recording Excellence
Flipkart,Free,Shopping,844 KB,E-Commerce Shopping
Picsart Photo Studio: Collage Maker and Picture Editor,Free,Photo & video,133.73 MB, Creative Photo Collages
Pinterest,Free,Social,964 KB,Visual Discovery and Inspiration
Power BI Desktop,Free,Business  >  Data & analytics,1.81 GB,Business Intelligence Analytics
Raw Image Extension,Free,Utilities & tools,2.95 MB,Raw Image Editing Support
Night Skies PREMIUM,Free,Personalization  >  Themes,9.8 MB,Stargazing Experience
Hotspot Shield Free VPN,Free,Productivity,48.06 MB,Secure VPN Connection
Microsoft Whiteboard,Free,Productivity,157.34 MB,Collaborative Digital Whiteboard
Dell Mobile Connect,Free,Productivity,68.28 MB, PC-Mobile Integration
"Microsoft To Do: Lists, Tasks & Reminders",Free,Productivity,69.08 MB,Task Management Efficiency
TranslucentTB,Free,Personalization,5.31 MB,Transparent Taskbar Customization
Zoom Rooms,Free,Business  >  Collaboration,36.91 MB,Seamless Video Conferencing
DTS Sound Unbound,Free,Entertainment,215.62 MB,Immersive Audio Experience
Office,Free,Productivity,25.33 MB,Productivity Suite
Gaana,Free,Music,31.09 MB,Music Streaming & Discovery
"Drawboard PDF - Read, edit, annotate PDF",Free,Productivity,103.66 MB,Advanced PDF Annotation
Ubuntu,Free,Developer tools  >  Utilities,466.14 MB,Linux Operating System
Net Speed Meter,Free,Utilities & tools,6.47 MB,Real-Time Internet Speed Monitoring
YouPlay - YouTube Player,Free,Entertainment,29.79 MB,Enhanced YouTube Viewing
Movie Maker - Video Editor,Free,Photo & video,243.69 MB,Cinematic Video Editing
"Reader For Adobe Acrobat PDF Editor : PDF Reader & Free PDF Editor , PDF Annotator, PDF Converter, PDF Signature, Form Filler, PDF Merger, and Note-taker for Adobe Acrobat PDFs",Free,Photo & video,243.69 MB,Comprehensive PDF Toolkit
Free Screen Recorder,Free,Productivity,6.8 MB,Easy Screen Recording
Luminar AI,Free,Photo & video,1.38 GB,AI-Powered Photo Editing
Ubuntu 20.04 LTS,Free,Developer tools  >  Utilities,466.14 MB,Linux Operating System
Speedtest by Ookla,Free,Utilities & tools,105.95 MB,Internet Speed Testing
Screen Recorder Pro For Win10,Free,Utilities & tools  >  File managers,72.38 MB,Professional Screen Recording
"FilmForth: video editor, movie maker, slideshow & video maker",Free,Photo & video,674.67 MB,Versatile Video Editing
NVIDIA Control Panel,"Full price was â‚¹ 2,724.00",Utilities & tools,37.12 MB, Graphics Configuration and Control
Arduino IDE,Free,Developer tools,576.69 MB, Integrated Development Environment for Arduino
"PDF Reader - Free PDF Editor, PDF Converter, PDF Merge, PDF Annotator & PDF Signature",Free,Business  >  Collaboration,186.24 MB,All-in-One PDF Solution
JioSaavn Music & Radio,Free,Music,24.33 MB,Extensive Music Library and Radio
OneNote for Windows 10,Free,Productivity,156.01 MB,Digital Note-Taking and Organization
7-Zip File Manager (Unofficial),Free,Utilities & tools  >  File managers,5.24 MB,File Compression and Decompression
All Video Player HD,Free,Photo & video,43.52 MB,High-Definition Video Playback
Messenger,Free,Social,500.52 MB,Instant Messaging
WinZip Microsoft Store Edition,Free,Productivity,581.52 MB,Zip File Management
Windows Terminal,Free,Developer tools  >  Utilities,32.72 MB,Modern Command-Line Interface
VPN Pro - Best Free VPN & Unlimited Wifi Proxy,Free,Productivity,8.45 MB,Secure Virtual Private Network
Reddit,Free,Social,1.11 MB,Social News Aggregation and Discussion
Pride 2020 Flags,Free,Personalization  >  Themes,15.38 MB, Pride-Themed Flags Collection
EasyMail for Gmail,Free,Productivity,41.08 MB,Simplified Gmail Access
Earth from Above PREMIUM,Free,Personalization  >  Themes,10.49 MB,Aerial Photography Showcase
RAR Opener,Free,Utilities & tools,19.96 MB,RAR File Extraction
Notepad++ (Unofficial),Free,Developer tools  >  Utilities,18.05 MB,Advanced Text Editor
AV1 Video Extension,Free,Utilities & tools,3.51 MB,AV1 Video Codec Support
TeamViewer: Remote Control,Free,Productivity,17.81 MB,Remote Desktop Access
